id,user_id,setups,createdAt,setups2
10,1,"[{""id"":""e377d992-37e2-4321-a22f-206db89923c7"",""result"":""Even"",""version"":10,""contextComps"":[],""detailsComps"":[],""selectedComps"":[3,1]},{""id"":""9b541844-28d8-46a5-8e35-a703caee594f"",""result"":""Gain"",""version"":4,""contextComps"":[13],""detailsComps"":[6],""selectedComps"":[5,6]}]",2026-02-27 17:08:31.645883,[]
11,1,"[{""id"":""26f8b493-4530-438d-b625-7b7372f3aca9"",""result"":""Gain"",""version"":6,""contextComps"":[],""detailsComps"":[36],""selectedComps"":[32,16,21]},{""id"":""70e507e5-ef3c-42a3-8192-1805f15c1ac7"",""result"":""Gain"",""version"":6,""contextComps"":[26],""detailsComps"":[],""selectedComps"":[24,11,8]},{""id"":""8bdbf5e3-d923-4eab-9bf2-12538272cbe2"",""result"":""Even"",""version"":1,""contextComps"":[],""detailsComps"":[],""selectedComps"":[30]},{""id"":""15d72be7-1c4d-469c-b5c9-53ecae61a095"",""result"":""Gain"",""version"":4,""contextComps"":[],""detailsComps"":[],""selectedComps"":[24,22,23,37]},{""id"":""efa3a64d-becb-49b6-a110-ba213823330f"",""result"":""Gain"",""version"":3,""contextComps"":[],""detailsComps"":[],""selectedComps"":[32,37,17]},{""id"":""eb0bd26f-1874-4e8b-8b20-0f1bf9c2f555"",""result"":""Gain"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[39,11]},{""id"":""4b29412f-23ae-4c37-ac8f-fd2a64cb6bb6"",""result"":""Gain"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[5,41]},{""id"":""288ec72a-5e96-407c-95df-90752ece7dcd"",""result"":""Gain"",""version"":5,""contextComps"":[],""detailsComps"":[],""selectedComps"":[38,28,9]},{""id"":""1acba956-68bc-494d-8286-f048f77da769"",""result"":""Gain"",""version"":3,""contextComps"":[],""detailsComps"":[],""selectedComps"":[10,11,41]}]",2026-02-27 20:30:09.86079,[]
12,1,"[{""id"":""e980420e-b62e-4ad5-8d64-ef801fea974e"",""result"":""Loss"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[42,6]},{""id"":""060bc8c1-5b36-4c24-9dd3-0aa5586324d5"",""result"":""Loss"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[43,39]},{""id"":""caf126a1-ae3f-413c-b482-ca4fc35808f1"",""result"":""Gain"",""version"":3,""contextComps"":[],""detailsComps"":[],""selectedComps"":[40,21,23]},{""id"":""4e97111d-f465-41c9-8b5d-24db1e32a153"",""result"":""Gain"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[44,21]},{""id"":""0ecbb834-cac0-4c39-b56b-3f4b762272d0"",""result"":""flat"",""version"":1,""contextComps"":[],""detailsComps"":[],""selectedComps"":[6]},{""id"":""25ff5ece-0561-4b94-95e4-b1032e89229a"",""result"":""gain"",""version"":3,""contextComps"":[],""detailsComps"":[],""selectedComps"":[8,23,21]},{""id"":""dc569808-12d7-4423-b79a-189c5f1d373b"",""result"":""gain"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[4,41]},{""id"":""a28b67b0-cc1d-4921-b76d-5eb9d909ff20"",""result"":""gain"",""version"":4,""contextComps"":[],""detailsComps"":[],""selectedComps"":[18,21,8,23]},{""id"":""37878671-9884-43f0-99a6-4606f50dd967"",""result"":""gain"",""version"":2,""contextComps"":[],""detailsComps"":[],""selectedComps"":[27,42]}]",2026-02-27 21:59:37.634141,[]
18,1,[],2026-02-28 17:16:56.806104,"[{""id"":""7bc77e7c-8867-4622-b711-ea61bcf28769"",""result"":"""",""version"":17,""selectedComps"":[{""details"":[45,14],""component"":21},{""details"":[],""component"":41},{""details"":[7,29],""component"":30},{""details"":[],""component"":45},{""details"":[],""component"":28}]},{""id"":""9bbec1b6-f591-4539-b39d-f86f4ef93f5a"",""result"":"""",""version"":13,""selectedComps"":[{""details"":[18],""component"":11},{""details"":[],""component"":1},{""details"":[36,10],""component"":20},{""details"":[],""component"":21}]}]"
19,1,[],2026-03-01 14:31:48.29599,"[{""id"":""c20b9c04-9123-42f7-87f3-7facbb749ec3"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[],""component"":62},{""details"":[8],""component"":32},{""details"":[],""component"":44}]},{""id"":""ce3ba538-2420-4925-a869-7ad65bbd42dd"",""result"":""gain"",""version"":3,""selectedComps"":[{""details"":[],""component"":44},{""details"":[],""component"":21},{""details"":[],""component"":40}]},{""id"":""29e3d2d6-a148-4642-a1cd-6f0a240899e3"",""result"":""flat"",""version"":3,""selectedComps"":[{""details"":[],""component"":24},{""details"":[],""component"":21},{""details"":[],""component"":17}]},{""id"":""63b9109d-2b7d-497b-a23f-2fce0fec2d1d"",""result"":""loss"",""version"":7,""selectedComps"":[{""details"":[37],""component"":45},{""details"":[],""component"":21}]},{""id"":""2ee2a76b-0ff1-4b11-85af-da751758b31c"",""result"":""gain"",""version"":2,""selectedComps"":[{""details"":[],""component"":4},{""details"":[],""component"":42}]},{""id"":""ba26a2a5-1585-4a6d-b946-f2c41d8e0aff"",""result"":""gain"",""version"":2,""selectedComps"":[{""details"":[],""component"":27},{""details"":[],""component"":42}]},{""id"":""501d6260-db6e-417f-88a4-04382a3ee6b0"",""result"":""loss"",""version"":2,""selectedComps"":[{""details"":[],""component"":5},{""details"":[],""component"":11}]},{""id"":""cf451f6d-393f-474a-be83-c11a942a3601"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[7],""component"":26},{""details"":[],""component"":22},{""details"":[],""component"":23}]},{""id"":""a87fadf2-18d0-4842-81d0-c7fdd09de000"",""result"":""gain"",""version"":2,""selectedComps"":[{""details"":[],""component"":64},{""details"":[],""component"":37}]},{""id"":""f323fa45-2ad3-44b1-9e7a-8e27d748a2c1"",""result"":""gain"",""version"":6,""selectedComps"":[{""details"":[],""component"":65},{""details"":[40],""component"":9},{""details"":[],""component"":20},{""details"":[40],""component"":21}]},{""id"":""e82f0e32-3a47-4d49-9a6a-f64cc9826a46"",""result"":"""",""version"":3,""selectedComps"":[{""details"":[],""component"":20},{""details"":[],""component"":64},{""details"":[],""component"":16}]}]"
20,1,[],2026-03-01 15:25:40.956545,"[{""id"":""07d7bc8a-57ef-42db-8758-00d797d22c16"",""result"":""flat"",""version"":5,""selectedComps"":[{""details"":[39,40],""component"":43}]},{""id"":""65e5b177-f1d7-4ea9-a0ed-70b39913a5e8"",""result"":""loss"",""version"":2,""selectedComps"":[{""details"":[60],""component"":4}]},{""id"":""7f3b8c06-b6c0-49d8-a2b9-d0c140abf9f2"",""result"":""flat"",""version"":1,""selectedComps"":[{""details"":[],""component"":43}]},{""id"":""3ab09819-90b8-4bb1-9e6b-c338dda5ec24"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[],""component"":44},{""details"":[],""component"":11},{""details"":[],""component"":43},{""details"":[],""component"":4}]},{""id"":""698888b1-c395-4235-bf5f-e953b8ff03e9"",""result"":""flat"",""version"":2,""selectedComps"":[{""details"":[68],""component"":6}]},{""id"":""2f8d53c9-78ce-4350-b880-dd6e9bd48883"",""result"":""gain"",""version"":3,""selectedComps"":[{""details"":[],""component"":17},{""details"":[],""component"":41},{""details"":[],""component"":11}]},{""id"":""ab970131-0fc8-49d7-a1b2-36c94bc730c5"",""result"":""gain"",""version"":2,""selectedComps"":[{""details"":[66],""component"":6}]},{""id"":""5f0f0e0a-43bd-43eb-a628-bab28b8f5601"",""result"":""gain"",""version"":6,""selectedComps"":[{""details"":[],""component"":6},{""details"":[],""component"":68},{""details"":[42],""component"":27}]},{""id"":""23631ef7-6daa-4bea-b8e6-9822b26dcfde"",""result"":""gain"",""version"":7,""selectedComps"":[{""details"":[67],""component"":6},{""details"":[10],""component"":9},{""details"":[],""component"":11}]},{""id"":""8e363e8c-0df4-4bce-b91d-3b7948770249"",""result"":""gain"",""version"":7,""selectedComps"":[{""details"":[68],""component"":6},{""details"":[],""component"":41},{""details"":[],""component"":8},{""details"":[],""component"":64}]},{""id"":""096e3a01-2198-4639-b233-56bed66f1ac5"",""result"":""gain"",""version"":2,""selectedComps"":[{""details"":[],""component"":32},{""details"":[],""component"":4}]},{""id"":""7d9be91d-3f8f-44f6-85cb-4dfe43583139"",""result"":""gain"",""version"":5,""selectedComps"":[{""details"":[41,70],""component"":5},{""details"":[69],""component"":21}]},{""id"":""4d86371d-e365-4726-ba64-1ad5494a5216"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[41,70],""component"":5},{""details"":[],""component"":8}]},{""id"":""67ae355f-6867-4688-ae18-a9d747b024b9"",""result"":""gain"",""version"":7,""selectedComps"":[{""details"":[41,70],""component"":5},{""details"":[70],""component"":21}]}]"
21,1,[],2026-03-01 16:46:04.517807,"[{""id"":""d5bb922f-2938-4555-b11e-77819614c94d"",""result"":""loss"",""version"":6,""selectedComps"":[{""details"":[70,59],""component"":62},{""details"":[69],""component"":21},{""details"":[],""component"":71}]},{""id"":""9a19b412-88ba-4181-a47c-107d6f489acf"",""result"":""loss"",""version"":3,""selectedComps"":[{""details"":[],""component"":4},{""details"":[60],""component"":17}]},{""id"":""8e96a777-d8ce-4015-9c9f-c6a3868bc777"",""result"":""gain"",""version"":3,""selectedComps"":[{""details"":[],""component"":4},{""details"":[],""component"":7},{""details"":[],""component"":42}]},{""id"":""e9785a79-b24f-4663-91a2-3abf3bd702db"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[69],""component"":5},{""details"":[],""component"":42},{""details"":[],""component"":27}]},{""id"":""cedad361-fd39-44a5-a849-4b71c72e3f72"",""result"":""loss"",""version"":8,""selectedComps"":[{""details"":[4],""component"":28},{""details"":[],""component"":27},{""details"":[],""component"":73}]},{""id"":""b36cf9c1-a4a1-4ffe-bcbd-5fc759390989"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[],""component"":26},{""details"":[75],""component"":74},{""details"":[],""component"":42}]},{""id"":""79626113-2867-482d-9def-bd96d499bb61"",""result"":"""",""version"":1,""selectedComps"":[{""details"":[],""component"":24}]}]"
22,1,[],2026-03-02 13:43:32.107521,"[{""id"":""0d8de7b8-eba7-4957-b3bd-c31bf653f4c6"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[67],""component"":6}]},{""id"":""6ead2fe8-d562-4e2d-b4e1-d35783d0d877"",""result"":""loss"",""version"":4,""selectedComps"":[{""details"":[],""component"":17},{""details"":[],""component"":4},{""details"":[79],""component"":77}]},{""id"":""85230a11-b818-40a5-96dd-0d075cea97f3"",""result"":""gain"",""version"":4,""selectedComps"":[{""details"":[66],""component"":6},{""details"":[79],""component"":77}]},{""id"":""560109c8-b047-47f6-92f8-fdd9f626d5d3"",""result"":""gain"",""version"":8,""selectedComps"":[{""details"":[68],""component"":6},{""details"":[],""component"":17},{""details"":[61,44],""component"":3}]},{""id"":""a6d2566d-91d6-4801-b936-ace477a5f9ff"",""result"":""flat"",""version"":5,""selectedComps"":[{""details"":[59],""component"":6},{""details"":[],""component"":4},{""details"":[16],""component"":27}]},{""id"":""f0ee5a95-8f4b-487c-9fa3-85e3f1202479"",""result"":"""",""version"":4,""selectedComps"":[{""details"":[],""component"":27},{""details"":[60],""component"":3},{""details"":[],""component"":42}]}]"
23,1,[],2026-03-03 12:14:38.650612,"[{""id"":""9c750a40-e646-449e-bb88-f2ef3f5d4834"",""refs"":[{""end"":2,""begin"":1,""timeframe"":""m3""},{""end"":0,""begin"":1,""timeframe"":""""}],""truth"":[{""details"":[],""component"":3},{""details"":[],""component"":32}],""cardId"":""9c750a40-e646-449e-bb88-f2ef3f5d4834"",""result"":""loss"",""version"":22,""showTruth"":true,""selectedComps"":[{""details"":[],""component"":17},{""details"":[69],""component"":3},{""details"":[],""component"":72},{""details"":[],""component"":9},{""details"":[],""component"":18},{""details"":[],""component"":43},{""details"":[72],""component"":38},{""details"":[],""component"":64},{""details"":[],""component"":45},{""details"":[],""component"":42},{""details"":[64],""component"":36},{""details"":[],""component"":32},{""details"":[],""component"":8}]},{""id"":""5ec3c242-424e-4be7-a570-cef8e23347b6"",""cardId"":""9c750a40-e646-449e-bb88-f2ef3f5d4834"",""result"":""loss"",""version"":0,""selectedComps"":[]},{""id"":""e6ed47ed-67ca-4b50-bebd-d6552f68a23c"",""refs"":[{""end"":0,""begin"":34,""timeframe"":""m1""},{""end"":6,""begin"":3,""timeframe"":""m2""}],""cardId"":""e6ed47ed-67ca-4b50-bebd-d6552f68a23c"",""result"":"""",""version"":26,""selectedComps"":[{""details"":[],""component"":72},{""details"":[],""component"":41},{""details"":[],""component"":5},{""details"":[],""component"":17}]},{""id"":""02958f0b-86e1-4eee-9957-aa13e38ecd18"",""cardId"":""02958f0b-86e1-4eee-9957-aa13e38ecd18"",""result"":"""",""version"":4,""selectedComps"":[{""details"":[],""component"":20},{""details"":[],""component"":27}]},{""id"":""ed674ef2-27d8-4654-89d9-a91c9a776b9b"",""cardId"":""ed674ef2-27d8-4654-89d9-a91c9a776b9b"",""result"":"""",""version"":22,""selectedComps"":[{""details"":[],""component"":27},{""details"":[59,70],""component"":3}]}]"
24,1,[],2026-03-03 17:19:16.339491,"[{""id"":""84833e48-9057-4cb1-b79b-1cce1ab6035d"",""cardId"":""84833e48-9057-4cb1-b79b-1cce1ab6035d"",""result"":"""",""version"":8,""selectedComps"":[{""details"":[28,8,40],""component"":28}]},{""id"":""65f58ec7-b248-4016-814a-208fde3caf00"",""cardId"":""84833e48-9057-4cb1-b79b-1cce1ab6035d"",""result"":"""",""version"":40,""selectedComps"":[{""details"":[],""component"":64},{""details"":[],""component"":22},{""details"":[],""component"":9},{""details"":[],""component"":45},{""details"":[],""component"":1},{""details"":[],""component"":28}]},{""id"":""9a7951ff-5e8d-43ac-8da6-090e2f3906f1"",""cardId"":""c89b169f-b713-46f1-a211-6e4f51f2c237"",""images"":[{""key"":""H7Ptp2XUgmWuBNw3DRZTkElVHchQu2Zgzo5xDGANBRLseY76"",""uri"":""https://9yrpm0whqq.ufs.sh/f/H7Ptp2XUgmWuBNw3DRZTkElVHchQu2Zgzo5xDGANBRLseY76""},{""key"":""H7Ptp2XUgmWudlVC3n2O93wXaRC2AnKvQsuSLV1DUjNtbfYq"",""uri"":""https://9yrpm0whqq.ufs.sh/f/H7Ptp2XUgmWudlVC3n2O93wXaRC2AnKvQsuSLV1DUjNtbfYq""}],""result"":"""",""version"":4,""selectedComps"":[{""details"":[72],""component"":71},{""details"":[],""component"":72},{""details"":[],""component"":9}]}]"
